Nome,Evento Generale,Warning Generale,Evento Specifico,Warning Specifico,Evento Specifico Vecchio
Salto con l'asta  UOMINI - Gruppo 1,asta,,Salto con l'asta,,Salto con l’asta
Salto con l'asta  UOMINI - Gruppo 2,asta,,Salto con l'asta,,Salto con l’asta
Salto in lungo  UOMINI,lungo,,Salto in lungo,,Salto in lungo
60 piani - JPS Uomini,corsa piana,,60m,,60m
60 Hs H 106 - P/S Uomini,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h106-9.14
60 Hs H 100 - Juniores Uomini,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h100-9.14
60 Hs H 91-8.50 - Senior M50-55,ostacoli,,60 Hs,non conosco l'altezza,60 Hs Master
60 piani - JPS Donne,corsa piana,,60m,,60m
60 Hs H 84-8.50 - JPS Donne,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
Salto in alto/HJ - JPS Uomini,alto,,Salto in alto,,Salto in alto
Salto con l'asta/PV - JPS Uomini,asta,,Salto con l'asta,,Salto con l’asta
Salto in lungo/LJ - JPS Uomini,lungo,,Salto in lungo,,Salto in lungo
Salto triplo/TJ - JPS Uomini,alto,,Salto in alto,,Salto triplo
Salto in alto/HJ - JPS Donne,alto,,Salto in alto,,Salto in alto
Salto con l'asta/PV - JPS Donne,asta,,Salto con l'asta,,Salto con l’asta
Salto in lungo/LJ - JPS Donne,lungo,,Salto in lungo,,Salto in lungo
Salto triplo/TJ - JPS Donne,alto,,Salto in alto,,Salto triplo
Salto in alto/HJ - Cadetti,alto,,Salto in alto,,Salto in alto
Salto con l'asta/PV - Cadetti,asta,,Salto con l'asta,,Salto con l’asta
Salto triplo/TJ - Cadetti,alto,,Salto in alto,,Salto triplo
Salto in alto/HJ - Cadette,alto,,Salto in alto,,Salto in alto
Salto con l'asta/PV - Cadette,asta,,Salto con l'asta,,Salto con l’asta
Salto triplo/TJ - Cadette,alto,,Salto in alto,,Salto triplo
60m Allievi,corsa piana,,60m,,60m
200m Allievi,corsa piana,,200m,,200m
400m Allievi,corsa piana,,400m,,400m
800m Allievi,corsa piana,,800m,,800m
1500m Allievi,corsa piana,,1500m,,1500m
60 Hs Allievi,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h91-9.14
Marcia 5000m Allievi,marcia,,Marcia 5000m,,Marcia 5000m
Staffetta 4x1 giro Allievi,staffetta,,4x200m,,4x200m
60m Allieve,corsa piana,,60m,,60m
200m Allieve,corsa piana,,200m,,200m
400m Allieve,corsa piana,,400m,,400m
800m Allieve,corsa piana,,800m,,800m
1500m Allieve,corsa piana,,1500m,,1500m
60 Hs Allieve,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h76-8.50
Marcia 3000m Allieve,marcia,,Marcia 3000m,,Marcia 3000m
Staffetta 4x1 giro Allieve,staffetta,,4x200m,,4x200m
Salto in alto Allievi,alto,,Salto in alto,,Salto in alto
Salto con l'asta Allievi,asta,,Salto con l'asta,,Salto con l’asta
Salto in lungo Allievi,lungo,,Salto in lungo,,Salto in lungo
Salto triplo Allievi,alto,,Salto in alto,,Salto triplo
Salto in alto Allieve,alto,,Salto in alto,,Salto in alto
Salto con l'asta Allieve,asta,,Salto con l'asta,,Salto con l’asta
Salto in lungo Allieve,lungo,,Salto in lungo,,Salto in lungo
Salto triplo Allieve,alto,,Salto in alto,,Salto triplo
60m Uomini,corsa piana,,60m,,60m
400m Uomini,corsa piana,,400m,,400m
800m Uomini,corsa piana,,800m,,800m
1500m Uomini,corsa piana,,1500m,,1500m
3000m Uomini,corsa piana,,3000m,,3000m
60 Hs Uomini,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h106-9.14
Marcia 5000m Uomini,marcia,,Marcia 5000m,,Marcia 5000m
Staffetta 4x2 giri Uomini,staffetta,,4x400m,,4x400m
60m Donne,corsa piana,,60m,,60m
400m Donne,corsa piana,,400m,,400m
800m Donne,corsa piana,,800m,,800m
1500m Donne,corsa piana,,1500m,,1500m
3000m Donne,corsa piana,,3000m,,3000m
60 Hs Donne,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
Marcia 3000m Donne,marcia,,Marcia 3000m,,Marcia 3000m
Staffetta 4x2 giri Donne,staffetta,,4x400m,,4x400m
Salto in alto Uomini,alto,,Salto in alto,,Salto in alto
Salto con l'asta Uomini,asta,,Salto con l'asta,,Salto con l’asta
Salto in lungo Uomini,lungo,,Salto in lungo,,Salto in lungo
Salto triplo Uomini,alto,,Salto in alto,,Salto triplo
Salto in alto Donne,alto,,Salto in alto,,Salto in alto
Salto con l'asta Donne,asta,,Salto con l'asta,,Salto con l’asta
Salto in  lungo Donne,lungo,,Salto in lungo,,Salto in lungo
Salto triplo Donne,alto,,Salto in alto,,Salto triplo
60 Hs H 76  TETRATHLON CADETTE,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h76-8.00
600 metri  TETRATHLON CADETTE,corsa piana,,600m,,600m
60 Hs H 84  TETRATHLON CADETTI,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
1000 metri  TETRATHLON CADETTI,corsa piana,,1000m,,1000m
200 metri  CADETTE,corsa piana,,200m,,200m
60 Hs H 76  CADETTE,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h76-8.00
200 metri  CADETTI,corsa piana,,200m,,200m
60 Hs H 84  CADETTI,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
Salto in alto  TETRATHLON CADETTE,alto,,Salto in alto,,Salto in alto
Salto in alto  TETRATHLON CADETTI,alto,,Salto in alto,,Salto in alto
Salto in alto  CADETTE,alto,,Salto in alto,,Salto in alto
Salto in lungo  CADETTE,lungo,,Salto in lungo,,Salto in lungo
Salto con l'asta  CADETTI,asta,,Salto con l'asta,,Salto con l’asta
Salto in lungo  CADETTI,lungo,,Salto in lungo,,Salto in lungo
600 metri  CADETTE,corsa piana,,600m,,600m
Staffetta 4x200  CADETTE,staffetta,,4x200m,,4x200m
600 metri  CADETTI,corsa piana,,600m,,600m
Staffetta 4x200  CADETTI,staffetta,,4x200m,,4x200m
60 piani A/J/P/S MASCHILI,corsa piana,,60m,,60m
60 Hs H 106 J/P/S MASCHILI,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h106-9.14
60 piani A/J/P/S FEMMINILI,corsa piana,,60m,,60m
60 Hs H 84-8.50 A/J/P/S FEMMINILI,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
60 metri SF35,corsa piana,,60m,,60m
200 metri SF35,corsa piana,,200m,,200m
400 metri SF35,corsa piana,,400m,,400m
800 metri SF35,corsa piana,,800m,,800m
1500 metri SF35,corsa piana,,1500m,,1500m
3000 metri SF35,corsa piana,,3000m,,3000m
60 Hs H 84-8.50 SF35,ostacoli,,60 Hs,non conosco l'altezza,60 Hs Master
Salto in alto/HJ SF35,alto,,Salto in alto,,Salto in alto
Salto in lungo/LJ SF35,lungo,,Salto in lungo,,Salto in lungo
Salto triplo/TJ SF35,alto,,Salto in alto,,Salto triplo
Peso/SP Kg 4.000 SF35,peso,,Peso 4.000Kg,,Peso Kg 4.000
Marcia 3000 metri SF35,marcia,,Marcia 3000m,,Marcia 3000m
60 metri CDS DONNE,corsa piana,,60m,,60m
200 metri CDS DONNE,corsa piana,,200m,,200m
400 metri CDS DONNE,corsa piana,,400m,,400m
800 metri CDS DONNE,corsa piana,,800m,,800m
1500 metri CDS DONNE,corsa piana,,1500m,,1500m
3000 metri CDS DONNE,corsa piana,,3000m,,3000m
60 Hs CDS DONNE,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
Salto in alto/HJ CDS DONNE,alto,,Salto in alto,,Salto in alto
Salto in lungo/LJ CDS DONNE,lungo,,Salto in lungo,,Salto in lungo
Salto triplo/TJ CDS DONNE,alto,,Salto in alto,,Salto triplo
Peso/SP CDS DONNE,peso,,Peso,non conosco la massa,Peso Kg 4.000
Staffetta 4x200 CDS DONNE,staffetta,,4x200m,,4x200m
Marcia 3000 metri CDS DONNE,marcia,,Marcia 3000m,,Marcia 3000m
60 Hs Pentathlon Master F,ostacoli,,60 Hs,non conosco l'altezza,60 Hs Master
Salto in alto/HJ Pentathlon Master F,alto,,Salto in alto,,Salto in alto
Peso/SP Pentathlon Master F,peso,,Peso Master,,Peso Master
Salto in lungo/LJ Pentathlon Master F,lungo,,Salto in lungo,,Salto in lungo
800 metri Pentathlon Master F,corsa piana,,800m,,800m
3000 metri SF35-40,corsa piana,,3000m,,3000m
Marcia 3000 metri SF35-45,marcia,,Marcia 3000m,,Marcia 3000m
1500 metri SF35-40,corsa piana,,1500m,,1500m
800 metri SF35-45,corsa piana,,800m,,800m
Peso/SP SF35-45,peso,,Peso Master,,Peso Master
Salto in lungo/LJ SF35-45,lungo,,Salto in lungo,,Salto in lungo
Salto in alto/HJ SF35-50,alto,,Salto in alto,,Salto in alto
Salto triplo/TJ SF35-50,alto,,Salto in alto,,Salto triplo
60 metri SF40,corsa piana,,60m,,60m
200 metri SF40,corsa piana,,200m,,200m
400 metri SF40,corsa piana,,400m,,400m
800 metri SF40,corsa piana,,800m,,800m
1500 metri SF40,corsa piana,,1500m,,1500m
3000 metri SF40,corsa piana,,3000m,,3000m
60 Hs H 76-8.00 SF40,ostacoli,,60 Hs,non conosco l'altezza,60 Hs Master
Salto in alto/HJ SF40,alto,,Salto in alto,,Salto in alto
Salto con l'asta/PV SF40,asta,,Salto con l'asta,,Salto con l’asta
Salto in lungo/LJ SF40,lungo,,Salto in lungo,,Salto in lungo
Salto triplo/TJ SF40,alto,,Salto in alto,,Salto triplo
Peso/SP Kg 4.000 SF40,peso,,Peso 4.000Kg,,Peso Kg 4.000
Marcia 3000 metri SF40,marcia,,Marcia 3000m,,Marcia 3000m
Staffetta 4x200 SF40,staffetta,,4x200m,,4x200m
Salto con l'asta/PV CDS DONNE,asta,,Salto con l'asta,,Salto con l’asta
60 Hs H 76-8.00 SF40-45,ostacoli,,60 Hs,non conosco l'altezza,60 Hs Master
Salto con l'asta/PV SF35+,asta,,Salto con l'asta,,Salto con l’asta
60 metri SF45,corsa piana,,60m,,60m
200 metri SF45,corsa piana,,200m,,200m
400 metri SF45,corsa piana,,400m,,400m
800 metri SF45,corsa piana,,800m,,800m
1500 metri SF45,corsa piana,,1500m,,1500m
3000 metri SF45,corsa piana,,3000m,,3000m
60 Hs H 76-8.00 SF45,ostacoli,,60 Hs,non conosco l'altezza,60 Hs Master
Salto in alto/HJ SF45,alto,,Salto in alto,,Salto in alto
Salto con l'asta/PV SF45,asta,,Salto con l'asta,,Salto con l’asta
Salto in lungo/LJ SF45,lungo,,Salto in lungo,,Salto in lungo
Salto triplo/TJ SF45,alto,,Salto in alto,,Salto triplo
Peso/SP Kg 4.000 SF45,peso,,Peso 4.000Kg,,Peso Kg 4.000
Marcia 3000 metri SF45,marcia,,Marcia 3000m,,Marcia 3000m
Staffetta 4x200 SF45,staffetta,,4x200m,,4x200m
60 metri SF50,corsa piana,,60m,,60m
200 metri SF50,corsa piana,,200m,,200m
400 metri SF50,corsa piana,,400m,,400m
800 metri SF50,corsa piana,,800m,,800m
1500 metri SF50,corsa piana,,1500m,,1500m
3000 metri SF50,corsa piana,,3000m,,3000m
60 Hs H 76-7.00 SF50,ostacoli,,60 Hs,non conosco l'altezza,60 Hs Master
Salto in alto/HJ SF50,alto,,Salto in alto,,Salto in alto
Salto con l'asta/PV SF50,asta,,Salto con l'asta,,Salto con l’asta
Salto in lungo/LJ SF50,lungo,,Salto in lungo,,Salto in lungo
Salto triplo/TJ SF50,alto,,Salto in alto,,Salto triplo
Peso/SP Kg 3.000 SF50,peso,,Peso 3.000Kg,,Peso Kg 3.000
Marcia 3000 metri SF50,marcia,,Marcia 3000m,,Marcia 3000m
Staffetta 4x200 SF50,staffetta,,4x200m,,4x200m
3000 metri SF50+,corsa piana,,3000m,,3000m
Marcia 3000 metri SF50+,marcia,,Marcia 3000m,,Marcia 3000m
60 Hs H 76-7.00 SF50-55,ostacoli,,60 Hs,non conosco l'altezza,60 Hs Master
800 metri SF50-55,corsa piana,,800m,,800m
60 metri SF55,corsa piana,,60m,,60m
200 metri SF55,corsa piana,,200m,,200m
400 metri SF55,corsa piana,,400m,,400m
800 metri SF55,corsa piana,,800m,,800m
1500 metri SF55,corsa piana,,1500m,,1500m
3000 metri SF55,corsa piana,,3000m,,3000m
60 Hs H 76-7.00 SF55,ostacoli,,60 Hs,non conosco l'altezza,60 Hs Master
Salto in alto/HJ SF55,alto,,Salto in alto,,Salto in alto
Salto con l'asta/PV SF55,asta,,Salto con l'asta,,Salto con l’asta
Salto in lungo/LJ SF55,lungo,,Salto in lungo,,Salto in lungo
Salto triplo/TJ SF55,alto,,Salto in alto,,Salto triplo
Peso/SP Kg 3.000 SF55,peso,,Peso 3.000Kg,,Peso Kg 3.000
Marcia 3000 metri SF55,marcia,,Marcia 3000m,,Marcia 3000m
Staffetta 4x200 SF55,staffetta,,4x200m,,4x200m
60 metri SF55-60,corsa piana,,60m,,60m
Salto in lungo/LJ SF55+,lungo,,Salto in lungo,,Salto in lungo
Salto in alto/HJ SF55+,alto,,Salto in alto,,Salto in alto
Salto triplo/TJ SF55+,alto,,Salto in alto,,Salto triplo
60 metri SF60,corsa piana,,60m,,60m
200 metri SF60,corsa piana,,200m,,200m
400 metri SF60,corsa piana,,400m,,400m
800 metri SF60,corsa piana,,800m,,800m
1500 metri SF60,corsa piana,,1500m,,1500m
3000 metri SF60,corsa piana,,3000m,,3000m
60 Hs H 68.6-7.00 SF60,ostacoli,,60 Hs,non conosco l'altezza,60 Hs Master
Salto in alto/HJ SF60,alto,,Salto in alto,,Salto in alto
Salto in lungo/LJ SF60,lungo,,Salto in lungo,,Salto in lungo
Peso/SP Kg 3.000 SF60,peso,,Peso 3.000Kg,,Peso Kg 3.000
Marcia 3000 metri SF60,marcia,,Marcia 3000m,,Marcia 3000m
Staffetta 4x200 SF60,staffetta,,4x200m,,4x200m
1500 metri SF60+,corsa piana,,1500m,,1500m
60 Hs H 68.6-7.00 SF60+,ostacoli,,60 Hs,non conosco l'altezza,60 Hs Master
400 metri SF60+,corsa piana,,400m,,400m
200 metri SF60+,corsa piana,,200m,,200m
800 metri SF60+,corsa piana,,800m,,800m
Peso/SP SF60-65,peso,,Peso Master,,Peso Master
60 metri SF65,corsa piana,,60m,,60m
200 metri SF65,corsa piana,,200m,,200m
400 metri SF65,corsa piana,,400m,,400m
800 metri SF65,corsa piana,,800m,,800m
1500 metri SF65,corsa piana,,1500m,,1500m
3000 metri SF65,corsa piana,,3000m,,3000m
60 Hs H 68.6-7.00 SF65,ostacoli,,60 Hs,non conosco l'altezza,60 Hs Master
Salto in alto/HJ SF65,alto,,Salto in alto,,Salto in alto
Salto in lungo/LJ SF65,lungo,,Salto in lungo,,Salto in lungo
Salto triplo/TJ SF65,alto,,Salto in alto,,Salto triplo
Peso/SP Kg 3.000 SF65,peso,,Peso 3.000Kg,,Peso Kg 3.000
Marcia 3000 metri SF65,marcia,,Marcia 3000m,,Marcia 3000m
60 metri SF65+,corsa piana,,60m,,60m
200 metri SF70,corsa piana,,200m,,200m
400 metri SF70,corsa piana,,400m,,400m
800 metri SF70,corsa piana,,800m,,800m
1500 metri SF70,corsa piana,,1500m,,1500m
3000 metri SF70,corsa piana,,3000m,,3000m
60 Hs H 68.6-7.00 SF70,ostacoli,,60 Hs,non conosco l'altezza,60 Hs Master
Salto in alto/HJ SF70,alto,,Salto in alto,,Salto in alto
Salto triplo/TJ SF70,alto,,Salto in alto,,Salto triplo
Peso/SP Kg 3.000 SF70,peso,,Peso 3.000Kg,,Peso Master
Marcia 3000 metri SF70,marcia,,Marcia 3000m,,Marcia 3000m
Peso/SP SF70+,peso,,Peso Master,,Peso Master
60 metri SF75,corsa piana,,60m,,60m
Peso/SP Kg 2.000 SF75,peso,,Peso 2.000Kg,,Peso Master
Marcia 3000 metri SF75,marcia,,Marcia 3000m,,Marcia 3000m
Salto in alto/HJ SF75,alto,,Salto in alto,,Salto in alto
60 metri SF80,corsa piana,,60m,,60m
200 metri SF80,corsa piana,,200m,,200m
400 metri SF80,corsa piana,,400m,,400m
Salto in alto/HJ SF80,alto,,Salto in alto,,Salto in alto
Marcia 2000m  RAGAZZE,marcia,,Marcia 2000m,,Marcia 2000m
Marcia 2000m  RAGAZZI,marcia,,Marcia 2000m,,Marcia 2000m
Marcia 3000m  CADETTE,marcia,,Marcia 3000m,,Marcia 3000m
Marcia 3000m  CADETTI,marcia,,Marcia 3000m,,Marcia 3000m
Marcia 3000m  UOMINI,marcia,,Marcia 3000m,,Marcia 3000m
Salto in lungo  CADETTE - Gruppo 1,lungo,,Salto in lungo,,Salto in lungo
Salto in lungo  CADETTE - Gruppo 2,lungo,,Salto in lungo,,Salto in lungo
60m A Race MEN,corsa piana,,60m,,60m
60m B Race MEN,corsa piana,,60m,,60m
200m MEN,corsa piana,,200m,,200m
400m MEN,corsa piana,,400m,,400m
800m MEN,corsa piana,,800m,,800m
1500m MEN,corsa piana,,1500m,,1500m
60 Hs A Race MEN,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h106-9.14
60 Hs B Race MEN,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h106-9.14
Race Walking 5000m MEN,marcia,,Marcia 5000m,,Marcia 5000m
Relay 4x200 MEN,staffetta,,4x200m,,4x200m
60m A Race WOMEN,corsa piana,,60m,,60m
60m B Race WOMEN,corsa piana,,60m,,60m
200m WOMEN,corsa piana,,200m,,200m
400m WOMEN,corsa piana,,400m,,400m
800m WOMEN,corsa piana,,800m,,800m
1500m WOMEN,corsa piana,,1500m,,1500m
60 Hs A Race WOMEN,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
60 Hs B Race WOMEN,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
Race Walking 3000m WOMEN,marcia,,Marcia 3000m,,Marcia 3000m
Relay 4x200 WOMEN,staffetta,,4x200m,,4x200m
High Jump MEN,alto,,Salto in alto,,Salto in alto
Pole Vault MEN,asta,,Salto con l'asta,,Salto con l’asta
Long Jump MEN,lungo,,Salto in lungo,,Salto in lungo
Triple Jump MEN,triplo,,Salto triplo,,Salto triplo
High Jump WOMEN,alto,,Salto in alto,,Salto in alto
Pole Vault WOMEN,asta,,Salto con l'asta,,Salto con l’asta
Long Jump WOMEN,lungo,,Salto in lungo,,Salto in lungo
Triple Jump WOMEN,triplo,,Salto triplo,,Salto triplo
60 piani RAGAZZI Anno 2006,corsa piana,,60m,,60m
60 Hs H 60  RAGAZZI Anno 2006,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h60-7.50
60 piani RAGAZZE Anno 2006,corsa piana,,60m,,60m
60 Hs H 60 RAGAZZE Anno 2006,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h60-7.50
Salto in alto RAGAZZI Anno 2006,alto,,Salto in alto,,Salto in alto
Salto in lungo RAGAZZI Anno 2006,lungo,,Salto in lungo,,Salto in lungo
Salto in alto RAGAZZE Anno 2006,alto,,Salto in alto,,Salto in alto
Salto in lungo RAGAZZE Anno 2006,lungo,,Salto in lungo,,Salto in lungo
60 Hs CADETTI,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
60 Hs CADETTE,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h76-8.00
60 Hs TETRATHLON CADETTI,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
60 Hs TETRATHLON CADETTE,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h76-8.00
60 piani EXTRA CADETTI,corsa piana,,60m,,60m
60 piani EXTRA CADETTE,corsa piana,,60m,,60m
Salto con l'asta CADETTI,asta,,Salto con l'asta,,Salto con l’asta
Salto con l'asta CADETTE,asta,,Salto con l'asta,,Salto con l’asta
Salto in alto TETRATHLON CADETTI,alto,,Salto in alto,,Salto in alto
Salto in alto TETRATHLON CADETTE,alto,,Salto in alto,,Salto in alto
60 piani RAGAZZI Anno 2007,corsa piana,,60m,,60m
60 Hs H 60 RAGAZZI Anno 2007,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h60-7.50
60 piani RAGAZZE Anno 2007,corsa piana,,60m,,60m
60 Hs H 60 RAGAZZE Anno 2007,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h60-7.50
Salto in alto RAGAZZI Anno 2007,alto,,Salto in alto,,Salto in alto
Salto in lungo RAGAZZI Anno 2007,lungo,,Salto in lungo,,Salto in lungo
Salto in alto RAGAZZE Anno 2007,alto,,Salto in alto,,Salto in alto
Salto in lungo RAGAZZE Anno 2007,lungo,,Salto in lungo,,Salto in lungo
60 metri Classe Open F,corsa piana,,60m,,60m
200 metri Classe Open F,corsa piana,,200m,,200m
800 metri Classe Open F,corsa piana,,800m,,800m
Marcia 1500 metri Classe Open F,marcia,,Marcia 1500m,,marcia 1500m
60 metri Classe Open M,corsa piana,,60m,,60m
200 metri Classe Open M,corsa piana,,200m,,200m
800 metri Classe Open M,corsa piana,,800m,,800m
1500 metri Classe Open M,corsa piana,,1500m,,1500m
Staffetta 4x200 Classe Open M,staffetta,,4x200m,,4x200m
60 metri Classe C21 F,corsa piana,,60m,,60m
200 metri Classe C21 F,corsa piana,,200m,,200m
Marcia 1500 metri Classe C21 F,marcia,,Marcia 1500m,,marcia 1500m
60 metri Classe C21 M,corsa piana,,60m,,60m
200 metri Classe C21 M,corsa piana,,200m,,200m
1500 metri Classe C21 M,corsa piana,,1500m,,1500m
Staffetta 4x200 Classe C21 M,staffetta,,4x200m,,4x200m
Marcia 1500 metri Classe C21 M,marcia,,Marcia 1500m,,marcia 1500m
Salto triplo Classe Open F,alto,,Salto in alto,,Salto triplo
Salto in lungo Classe Open M,lungo,,Salto in lungo,,Salto in lungo
Salto in lungo Classe C21 F,lungo,,Salto in lungo,,Salto in lungo
Marcia 2000m RAGAZZI + RAGAZZE,marcia,'+' sus,Marcia 2000m,,Marcia 2000m
Marcia 3000m CADETTI+ CADETTE,marcia,'+' sus,Marcia 3000m,,Marcia 3000m
Salto in lungo RAGAZZI,lungo,,Salto in lungo,,Salto in lungo
30m piani RAGAZZI,corsa piana,,30m,,30m
30m piani RAGAZZE,corsa piana,,30m,,30m
Staffetta 6 X 1 GIRO MISTA M+F,staffetta,,6x200m,,6x200m mista
Salto in alto RAGAZZI,alto,,Salto in alto,,Salto in alto
Salto in alto RAGAZZE,alto,,Salto in alto,,Salto in alto
60 piani + PESO RAGAZZI,peso,'+' sus,Peso,non conosco la massa,60m
60 Hs H 60 + PESO  RAGAZZI,ostacoli,'+' sus 2 if,60 Hs,non conosco l'altezza,altro
60 Hs H 60 + QUADRUPLO  RAGAZZE,ostacoli,'+' sus 2 if,60 Hs,non conosco l'altezza,altro
60 piani + QUADRUPLO  RAGAZZI,quadruplo,'+' sus,Salto quadruplo,,60m
60 piani + PESO  RAGAZZE,peso,'+' sus,Peso,non conosco la massa,60m
60 Hs H 60 + QUADRUPLO  RAGAZZI,ostacoli,'+' sus 2 if,60 Hs,non conosco l'altezza,altro
60 Hs H 60 + PESO  RAGAZZE,ostacoli,'+' sus 2 if,60 Hs,non conosco l'altezza,altro
60 piani + QUADRUPLO RAGAZZE,quadruplo,'+' sus,Salto quadruplo,,60m
Salto Quadruplo + 60HS  RAGAZZE,ostacoli,'+' sus 2 if,ostacoli,Non conosco la distanza,Salto quadruplo
Salto Quadruplo + 60mt  RAGAZZI,alto,'+' sus,Salto in alto,,Salto quadruplo
Salto Quaruplo + 60HS RAGAZZI,ostacoli,'+' sus 2 if,ostacoli,Non conosco la distanza,Salto quadruplo
Salto Quadruplo + 60mt  RAGAZZE,alto,'+' sus,Salto in alto,,Salto quadruplo
60 Hs H 76-8.00 - BIATHLON CADETTE,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h76-8.00
60 piani CADETTE - SERIE EXTRA,corsa piana,,60m,,60m
60 Hs H 84-8.50 - BIATHLON CADETTI,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
60 piani TRIATHLON CADETTE,corsa piana,,60m,,60m
Salto in alto/HJ TRIATHLON CADETTE,alto,,Salto in alto,,Salto in alto
Salto triplo/TJ TRIATHLON CADETTE,alto,,Salto in alto,,Salto triplo
60 Hs H 84-8.50  Donne,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
60 Hs H 106  Uomini,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h106-9.14
30 piani Ragazzi,corsa piana,,30m,,30m
Peso/SP Kg 2.000 Ragazzi,peso,,Peso 2.000Kg,,Peso Kg 2.000
30 piani Ragazze,corsa piana,,30m,,30m
Peso/SP Kg 2.000 Ragazze,peso,,Peso 2.000Kg,,Peso Kg 2.000
BIATHLON RAGAZZI,prove multiple,,prove multiple,,Biathlon RM
BIATHLON RAGAZZE,prove multiple,,prove multiple,,Biathlon RF
60 Hs H 84-8.50 FEMMINILE,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
60 Hs H 100 JUNIOR MASCHILE,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h100-9.14
60 Hs H 106 MASCHILE,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h106-9.14
60 piani FEMMINILE,corsa piana,,60m,,60m
60 piani MASCHILE,corsa piana,,60m,,60m
Tutti i Risultati,altro,,altro,,altro
Statistica Partecipanti,altro,,altro,,altro
60 piani Donne,corsa piana,,60m,,60m
60 piani Donne Finale,corsa piana,,60m,,60m
60 Hs H 84-8.50 Donne,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
60 Hs H 76-8.50 Allieve,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h76-8.50
60 piani Uomini,corsa piana,,60m,,60m
60 piani Uomini Finale,corsa piana,,60m,,60m
60 Hs H 106 P/S Uomini,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h106-9.14
60 Hs H 91-9.14 Allievi,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h91-9.14
60 Hs H 100 Jun Uomini,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h100-9.14
Riepilogo risultati,altro,,altro,,altro
400 metri Uomini,corsa piana,,400m,,400m
800 metri Uomini,corsa piana,,800m,,800m
1500 metri Uomini,corsa piana,,1500m,,1500m
3000 metri Uomini,corsa piana,,3000m,,3000m
60 Hs H 106 Uomini,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h106-9.14
60 Hs H 100 Juniores Uomini,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h100-9.14
Salto in alto/HJ Uomini,alto,,Salto in alto,,Salto in alto
Salto con l'asta/PV Uomini,asta,,Salto con l'asta,,Salto con l’asta
Salto in lungo/LJ Allievi,lungo,,Salto in lungo,,Salto in lungo
Salto triplo/TJ Uomini,alto,,Salto in alto,,Salto triplo
Marcia 3000m Uomini,marcia,,Marcia 3000m,,Marcia 3000m
50 metri Uomini,corsa piana,,50m,,50m
400 metri Donne,corsa piana,,400m,,400m
800 metri Donne,corsa piana,,800m,,800m
1500 metri Donne,corsa piana,,1500m,,1500m
3000 metri Donne,corsa piana,,3000m,,3000m
60 Hs H 84-8.50 Juniores Donne,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
Salto in alto/HJ Donne,alto,,Salto in alto,,Salto in alto
Salto con l'asta/PV Donne,asta,,Salto con l'asta,,Salto con l’asta
Salto in lungo/LJ Allieve,lungo,,Salto in lungo,,Salto in lungo
Salto triplo/TJ Donne,alto,,Salto in alto,,Salto triplo
50 metri Donne,corsa piana,,50m,,50m
60 piani Cadetti,corsa piana,,60m,,60m
60 piani Cadette,corsa piana,,60m,,60m
Risultati,altro,,altro,,altro
